ts	p	f	e	r	c	l	ec	ep	infap	infaf	infbp	infbf	noInf	app	apf	ppp	ppf	psp	psf	ssp	ssf	tppp	tppf	prp	prf	pprtp	pprtf	shortIntrans	noOo	sepOo	separationAtP	separationAtF	diacExcept	a
1566474844246	ګوبلکه	gobaláka	mushroom	3	n. f.																													2
1527811375	ګوبي	gobée	cauliflower, cabbage	4	n. f.																													2
1527817689	ګوله	golá	bite, morsel, crumb	3	n. f.																													2
1527814564	ګولۍ	golúy	pill tablet; bullet	4	n. f.																													3
1527821895	ګوډۍ	gooDúy	doll	3	n. f.																													2
1588161705418	ګوډیکه	gooDyáka, gooDéeka	crutch; small doll, dolly; brace/support of a distaff	4	n. f.																													2
1610619048756	ګوګوشتکه	googooshtúka	turtledove	4	n. f. anim.																													2
1574870450774	ګوجره	goojúra	dairymaid, feminine form of ګوجر	4	n. f. anim.																													2
1586446744624	ګومارنه	goomaarúna	appointment, selection, commission, commissioning	4	n. f.																													2
1578015334699	ګومبځه	goombádza	dome, cupola	4	n. f.																													2
1578015215415	ګومبته	goombáta	dome, cupola	4	n. f.																													2
1578015248288	ګومبزه	goombáza	dome, cupola; warhead	4	n. f. anim.																													2
1527820057	ګونډه	goonDá, góonDa, gwúnDa,	knee	3	n. f.																													2
1584640008239	ګونځه	góondza, gwÚndza	wrinkle, crumple, ripple (on water etc.)	4	n. f.																													2
1527819328	ګونجه	góonja	wrinkle, pleat, crease	4	n. f.																													
1573766609115	ګوڼۍ	gooNúy	burlap/gunny sack, bag	3	n. f.																													2
1527813298	ګونز	goonz, gwUnz	comb	0	n. f.																													2
1594797372017	ګورګوره	goorgóora, gwurgóora	blackberry, blackberry bush	4	n. f.																													2
1568926918746	ګوتمۍ	gootmúy	a small ring	3	n. f.																													2
1527817970	ګوزاره	goozáara, goozaará	getting by, making ends meet; dealing with or bearing with, being tolerant or forgiving	3	n. f.																													2
1527822571	ګورواني	gorwaanée	herding, cattle herding	3	n. f.																													2
1527822709	ګوشکه	gosháka	telephone receiver, headphone?, earphone?	4	n. f.																													2
1610013168529	ګوسړه	gosRá, gosáRa	slap, smack, insult	3	n. f.																													2
1527822093	ګوښه	goxá, gooxá	secluded place, corner, privacy	4	n. f.																													2
1527811426	ګرمانه	gramaana	fine, penalty, punishment	1	n. f.																													
1577820448386	ګروه	groh	group; collarbone	4	n. f.																													
1527822889	ګروهه	grohá	belief, faith, trust, assurance, confidence, opinion, conviction; believing, trusting, assured, confident	3	n. f.																													2
1591026137855	ګډه	gúDa	female sheep	4	n. f. anim.																													3
1594834658860	ګډا	guDáa	basin	2	n. f.																													2
1664113804852	ګډوډي	guDwuDée, gaDwaDée	confusion, trouble, mess, disorder, disarray	4	n. f.																													3
1527823544	ګلدانۍ	gUldaanúy	flower pot	4	n. f.																													2
1602595162903	ګلکاري	gUlkáaree, gUlkaarée	embroidery	4	n. f.																													2
1527821155	ګمراهي	gUmraahée	error, heresy, straying from the true path, losing the way	4	n. f.																													2
1527817292	ګڼه ګوڼه	guNa góoNa	crowd or crowds of people, crowds, crowdedness	4	n. f.																													2
1527812642	ګناه	gUnáah	sin (often masc. with plural ګناهونه)	4	n. f.																													3
1578016227910	ګنبده	gUnbáda	dome, cupola	4	n. f.																													2
1578016221831	ګنبته	gUnbáta	dome, cupola	4	n. f.																													2
1627318892970	ګندنه	gundaná	leek	4	n. f.																													
1527813347	ګنځه	gundzu	third finger, ring finger	2	n. f.																													
1527819476	ګنګوسه	gUngoosá	rumour, hearsay, gossip	4	n. f.																													2
1527818573	ګړه	gURá	cane sugar, molasses, treacle	4	n. f.																													
1591872059942	ګړندي	guRandée	speed, swiftness, quickness	4	n. f.																													2
1527819339	ګرده	gUrda	kidney (from Farsi)	3	n. f.																													
1527819205	ګستاخي	gUstaakhée	impudence, rudeness, serious disrespect, arrogance, contempt, dishonouring someone or something, blasphemy	4	n. f.																													3
1704701981198	ګستاخي کول	gUstaakhée kawúl	to blaspheme, to show contempt		v. dyn. comp. trans.	1527819205	blaspheme																											3
1527818841	ګتمه	gUtmá	ring, clasp, buckle, thimble	0	n. f.																													2
1527811589	ګۍ	gúy	cord for sewing sacks	2	n. f.																													2
1527817971	ګذاره	gUzáara, gUzaará	getting by, making ends meet; dealing with or bearing with, being tolerant or forgiving	4	n. f.																													2
1527811377	ګولبي	gwulbée, goolbée	cauliflower, cabbage	3	n. f.																													2
1588077160115	ګوړه	gwúRa, góoRa	treacle, molasses; jaggery, gur (hard sweet clump made from cane sugar)	4	n. f.																													3
1527816698	ګوټ ناسته	gwuT náasta, gooT náasta	seclusion, the life of a hermit or recluse	4	n. f.																													2
1527813339	ګوته	gwúta, góota	finger	4	n. f.																													3
1527819998	ګوتلکه	gwutláka, gootláka	girl given in marriage to stop a blood feud;	2	n. f.																													2
1527815820	حادثه	haadisá	accident, event	3	n. f.									حوادث, حادثات	hawaadis, haadisaat																			3
1527819701	حافظه	haafizá	memory, recall, recollection	4	n. f.																													2
1622897858990	هاغه	háagha	that (emphasizing)	4	n. f.																													2
1527820173	هارمونیه	haarmooniya	harmonium	4	n. f.																													
1571526689012	هاضمه	haazimá	digestion	4	n. f.																													3
1527812114	حاضري	haazirée, haazurée	appearance, showing up for	4	n. f.																													3
1588786604676	هبه ډبه	hába Dába	whooping cough	2	n. f.																													2
1527812240	هدفي وژنه	hadafee wajzúna	target killing	4	n. f.																													2
1527812654	حدیقه	hadeeqá	park, walled park (from Arabic)	2	n. f.																													2
1527811429	هدیره	hadeerá	graveyard, cemetery	4	n. f.																													3
1527814323	هدیه	hadiyá	gift, present, donation, contribution	4	n. f.																													2
1527812655	هفته	haftá	week	4	n. f.																													3
1527812659	هګۍ	hagúy	egg	4	n. f.																													3
1527817688	هله ګوله	hala góola	disturbance, riot; entertainment	4	n. f.																													3
1709422959437	هله ګوله کول	hala góola kawúl	to disturb, riot	4	v. dyn. comp. trans.	1527817688	disturb																											3
1586453690097	هلي بلي	halee bálee	effort, efforts, working, labouring, uneasiness, worry	4	n. f.																													2
1527813800	حلقه	halqá	circle, ring, radius	4	n. f.																													2
1678175372130	حلوه	halwá	halva, halwa, sweets		n. f.																													
1678175363989	حلوا	halwáa	halva, halwa, sweets		n. f.																													3
1527821160	هم آهنګي	ham aahangée	harmony, agreement, unity, accord	4	n. f.																													2
1527823386	همبستري	hambistaree	sleeping together, cohabitation	3	n. f.																													
1527817317	همدردي	hamdardée	empathy, sympathy, compassion,sharing in another’s pain or difficulty, condolence	3	n. f.																													3
1708618873029	همدردي کول	hamdardée kawúl	to sympathize, condole, show empathy or compassion	3	v. dyn. comp. trans.	1527817317	sympathize																											3
1527814071	همغږي	hamghaGée, hamghuGée	coordination, unity, understanding	3	n. f.																													2
1527817235	همغږي	hamghaGée, hamghuGée	coordination	3	n. f.																													2
1527818091	همکاري	hamkaarée	collaboration, cooperation, aid, help	3	n. f.																													2
1527811993	حمله	hamlá	attack, assault, invasion	4	n. f.																													3
1714030674610	حمله کول	hamlá kawúl	to attack, assault, invade		v. dyn. comp. trans.	1527811993	attack																											3
1714030706709	حمله کوونکی	hamla kawóonkay	attacker, assaulter, invader		n. m. anim. unisex / adj.																													3
1527816664	همسایګي	hamsaayagée	neighbourliness	3	n. f.																													2
1527823464	هنډه	hánDa	piece, portion, part, member of the body	2	n. f.																													2
1527823465	هنډه	hánDa	wish, desire, inclination	2	n. f.																													2
1527814760	هندسه	handasá	geometry	4	n. f.																													2
1527820756	هنګري	hangarée	Hungary	4	n. f.																													2
1527811262	هپه	hapá	striving, aspiration; foray, raid; help, support	3	n. f.																													2
1527811263	هپي	hapée	adder, viper, poisonous snake	2	n. f.																													2
1527820498	حق الاجاره	haq Ulijaará	rent (Arabic)	2	n. f.																												true	2
1568410714483	حق الزحمه	haq Ulzahmá	wage, renumeration, fee, recompense	3	n. f.																													2
1527814552	حرام خوري	haraam khorée	freeloading, being a parasite, cheating or swindling money	4	n. f.																													2
1527819284	حرکت کوونکې زینه	harakat kawoonke zeena	escalator	4	n. f.																													2
1527814838	هرڼۍ	haraNúy	outburst	2	n. f.																													
1527819698	حربه	harbá	weapon, arms	3	n. f.																													2
1527822098	هرکاره	harkaará	with many abilities, multifaceted, versatile, many-sided; pan, frying pan	4	adj. / n. f. 																													2
1527813438	هړپۍ	haRpúy	small box, small case	2	n. f.																													2
1527822671	هسکه	háska	height, summit	3	n. f.																													2
1527817681	هستي	hastée	wealth, riches; existence, being	3	n. f.																													2
1527816974	هستوګه	hastogá	residence, dwelling, habitation	4	n. f.																													2
1527816975	هستوګنه	hastogúna	residence, dwelling, habitation	4	n. f.																													2
1527823309	هته	hatá	a weaver’s beam; elbow; cubit	2	n. f.																													2
1527812012	هڅه	hátsa	effort, endeavor, wish, inclination, attempt	4	n. f.																													2
1527811422	هڅونه	hatsawúna	encouragement, urging on, inducement, instigation	4	n. f.																													2
1527818013	هټۍ	haTúy	store, shop	4	n. f.																													2
1527818016	هټۍ والي	haTuy waalée	shopkeeping, retail store selling	4	n. f.																													2
1527812672	هوا	hawáa	air, atmosphere; weather	4	n. f.																													3
1715989047191	هوا بدلول	hawáa badlawúl	to ventilate, get fresh air		v. dyn. comp. trans.	1527812672	ventilate																											3
1712933825863	هوا ورکول	hawáa warkawúl	to fan	4	v. dyn. comp. trans.	1527812672	fan																											3
1664093129792	هوا خوري	hawaa khorée	walking around, stretching one's legs, getting fresh air, stroll, hike	4	n. f.																													2
1620042050117	هوائي کوربنه	hawaa‍`ee korbana	airline hostess, stewardess (on an airplane) (from کوربه)	4	n. f. anim.																												true	2
1527818829	هوابازي	hawaabaazée	aviation	4	n. f.																													2
1527817514	حواله	hawaalá	draft, money order, instruction, order, authorization, commission; quotation (په حواله - according to, by the account of) reference to text/scripture (as in chapter and verse)	4	n. f.									حوالات	hawaaláat																			3
1701703936305	حواله کول	hawaala kawúl	to transfer (money etc.), send, pass over	4	v. dyn./stat. comp. trans.	1527817514																												3
1620042025293	هوایي کوربنه	hawaayee korbana	airline hostess, stewardess (on an airplane) (from کوربه)	4	n. f.																													2
1527811815	هوس پرستي	hawás parastée	hedonism, profligacy, debauchery	3	n. f.																													2
1527817193	حوصله	hawsilá, hawsalá, hausilá	patience, courage, emotional strength or firmness	4	n. f.																													3
1709768914938	حوصله ورکول	hawsilá warkawúl	to encourage			1527817193	encourage																											3
1709420996189	حوصله ختمول	hawsilá khatmawúl	to discourage		v. dyn. comp. trans.	1527817193	discourage																											3
1709768953441	حوصله افزایي	hawsila afzaayée	encouragement		n. f.																													2
1709768962263	حوصله افزایي کول	hawsila afzaayée kawúl	to encourage		v. dyn. comp. trans.	1709768953441	encourage																											3
1527818926	حوزه	hawzá	zone, area, region	3	n. f.																													2
1527820515	حوضه	hawzá	basin, pool (حوزه)	3	n. f.																													2
1527818525	هښمه	háxma	storm cloud, rain cloud, rainstorm, downpour	2	n. f.																													2
1527818809	حیا	hayáa	modesty, bashfulness, shame, staying modest in dress and behaviour (Islam)	4	n. f.																													3
1527812673	هیله	héela	wish, hope, desire, request	4	n. f.																													2
1527822688	هیله مندتیا	heela mandtyáa	hopefulness, optimism	4	n. f.																													2
1586634176348	هیلۍ	heelúy	duck, swan	4	n. f. anim.																													2
1588785421104	هینداره	heendáara	mirror, glass (هنداره)	4	n. f.																													2
1527819084	هیضه	heezá	cholera, a stomach disease	4	n. f.																													2
1527817031	هېله	helá	wish, hope, desire, request	4	n. f.																													2
1527817764	هېره	héra	forgetfulness, absentmindedness	3	n. f.																													2
1575235351704	حیراني	hayraanée	surprise, alarm, amazement	4	n. f.																													2
1527820313	حیرانتیا	hayraantyáa	surprise, amazement, wonder	4	n. f.																													3
1527812675	حیوان شناسي	haywaan shinaasée	zoology	2	n. f.																													2
1527819702	حفظ الصحه	hifz Ulsihá	hygiene	2	n. f.																													2
1527822486	هجا	hijáa, hajáa	syllable; slowly reading by the syllables	3	n. f.																													2
1527821043	حمایه	himaayá, hamaayá	custody, protection, support; aid, help, comforting words	4	n. f.																													2
1527822103	هنداره	hindáara, handáara	mirror, glass	4	n. f.																													2
1678173870974	هندوشاهي	hindooshaahée	Hindu Shahi dynasty		n. f.																													2
1527814417	هندوانه	hindwaaná	watermelon	4	n. f.																													3
1527814418	هندواڼه	hindwaaNá	watermelon	4	n. f.																													2
1577999538077	هرې	hire, hare	a sound/cry used to drive sheep on	2	n. f.																													
1671787987197	حرفه	hirfá, harfá	trade (as in a profession), job, career		n. f.																													2
1577818091416	حساب داري	hisaab daarée	accounting, record-keeping	3	n. f.																													2
1527814427	حصه	hissá	portion, share, lot	3	n. f.																													3
1708824399326	حصه اخیستل	hissá akheestúl	to inherit, take part		v. dyn. comp. trans.	1527814427	inherit																											3
1527818526	هښمه	híxma, haxmá	storm cloud, rain cloud, rainstorm, downpour	2	n. f.																													2
1527812681	هوکړه	hókRa	agreement	4	n. f.																													2
1527813507	هوږه	hóoGa	garlic	4	n. f.																													
1527821710	هوښیاري	hooxyaarée, hoxyaarée	mind, intelligence, reason, smartness, rationality	4	n. f.																													2
1527816085	هوساینه	hosaayúna	peace, rest, tranquility	4	n. f.																													2
1527821372	هوسۍ	hosúy	gazelle, antelope	4	n. f. anim.																													3
1578190594103	هبره	hUbará, hubrá	a kind of crane (bird)	2	n. f. anim.																													2
1527814497	هجره	hUjrá	hujra, forum, space for discussion or ceremonies, community club, place for entertaining guests	3	n. f.																													1
1527819297	حجره	hUjrá	guest room, cell, unit, cage, tank; cell (biology)	4	n. f.																													2
1527823462	حما	hUmmáa, hUmáa	heat, high temperature, fever	2	n. f.																													2
1584888371428	هنډه	húnDa	stubbornness, forcefulness	2	n. f.																													2
1527816062	اعاده	i'aadá	return, restoration, restitution, repayment	3	n. f.																													2
1527819106	اعلامیه	i'laamiyá	declaration, communication, announcement, communique	4	n. f.																													2
1582389219401	عنبیه	i'nabiya	iris, uvea (of an eye)	3	n. f.																													
1610615489570	ابهامي	ibhaamée	vague, uncertain, ambiguous	3	n. f.																													2
1527815932	ابتدا	i'btidáa	beginning, first-stage	3	n. f.																												TRUE	3
1527813115	ادعا	id'áa	claim	3	n. f.																													2
1527812687	ادامه	idaamá	continuation	3	n. f.																													2
1527816215	اداره	idaará	administration, management, directorate	4	n. f.																													3
1527822458	افاده	ifaadá	expression	3	n. f.																													2
1527813329	افشا	ifsháa	disclosure, revealing; disclosed, revealed	4	n. f.																													2
1527818967	افتاري	iftaarée	the breaking of fast after sunset in Ramadan and meal	3	n. f.																													2
1671706935934	افتدا‌ء	iftidáa	redemption, ransom (Arabic)		n. f.																													2
1527816807	افتتاح	iftitáah	opening	3	n. f.																													2
1610538741714	اغوا	ighwáa	temptation, seduction, bribery, deception	3	n. f.																													2
1527820001	احاطه	ihaatá	encirlclement, envelopment, the action of surrounding; seige; enclosed place; fence, enclosure; understanding, comprehension	3	n. f.																													2
1594813783081	احصائیه	ihsaaiyá, ihsaayá	statistic	4	n. f.																													2
1527820602	احسان فراموشي	ihsaan faraamooshée	ingratitude, thanklessness	4	n. f.																													2
1577384467002	احتیاجي	ihtiyaajée	need, dependance	4	n. f.																													2
1678366549958	احیا	ihyáa, ahyáa	revival, revitalization		n. f.																													2
1527819953	اجاره	ijaará	rent, lease, sublet, hire	4	n. f.																													2
1527819952	اجاره داري	ijaara daarée	leasing, lease	4	n. f.																													2
1527820497	اجاره داري	ijaara daarée	lease, rent	4	n. f.																													2
1527813791	اجازه	ijaazá	permission	4	n. f.																													3
1702811404140	اجازه ورکول	ijaazá warkawúl	to give permission	4	v. dyn. comp. trans.	1527813791	give	permission																										3
1702811553566	اجازت	ijaazát	permission	4	n. f.																													3
1702811557422	اجازت ورکول	ijaazát warkawúl	to give permission	4	v. dyn. comp. trans.	1702811553566	give	permission																										3
1666885729271	اجماع	ijmaa	consensus, agreement; unanimous decision or opinion by theologians; assembly; congregation, council	3	n. f.																													
1527815081	اجرا	ijráa	execution, fulfillment, carrying out, performance, implementation	3	n. f.																													2
1527815934	اجراییه	ijraayiyá, ijraayeeá	administrator, executive power	4	n. f.																													2
1527812201	اجتماع	ijtimáa	gathering, assembly, society, community	4	n. f.																													2
1527820237	اختراع	ikhtiraa	innovation, invention, initiative	3	n. f.																													
1568926976497	اکسرې	iksre	x-ray	4	n. f.																													
1527811654	اکتفا	iktifáa	contentment, satisfaction, sufficiency	2	n. f.																													2
1527811382	الاچي	ilaachée, alaachée	cardamon, cardamom	4	n. f.																													2
1595252694892	الغا	ilgháa, algháa	abolishment, canncellation	2	n. f.																													2
1527818874	الحاقیه	ilhaaqyá, alhaaqiyá	appendix, supplement, extension, wing (of a building)	1	n. f.																													2
1591803517557	التجا	iltijáa	appeal, recourse, claim, refuge	3	n. f.																													2
1527823751	املا	imláa	spelling, orthography	4	n. f.																													2
1527817210	امتناع	imtináa	refusal, rejection, abstinance	2	n. f.																													2
1527819616	امضا	imzáa	signature	4	n. f.																													2
1527812692	انګلیسي	ingleesée	English	4	n. f.																													2
1610616933842	انګۍ	ingúy	echo	4	n. f.																													2
1610616946336	انګۍ	ingúy	leapfrog	2	n. f.																													2
1577396541950	انجنیري	injuneerée	engineering	4	n. f.																													2
1527812694	انجنۍ	injUnúy, anjunúy	girl	4	n. f.																													2
1527823039	انکاري	inkaarée	denying, refusing, recanting	4	n. f.																													2
1678173958069	انقطاع	inqitáa'	cessation, stopping; separation, amputation		n. f.																													2
1527811805	انسان پرستي	insaan parastée	humanism	4	n. f.																													2
1617442271435	انتباه	intibáa	warning, awakening, perception; the Renaissance; vigilance; cheerfulness	4	n. f.																													2
1566473683629	انتها	intiháa	utimate, extremity, limit, end	4	n. f.																													3
1527821364	انزوا	inziwáa	isolation, seclusion, insularity, retreat	4	n. f.																													2
1527823481	اقامه	iqaamá	accommodation, residence, settling, placing	4	n. f.																													2
1527823556	اقامت ګاه	iqaamat gáah	place of residence; army reception center	4	n. f.																													2
1527816976	اقامتګا	iqaamatgaa	residence, place of residence	4	n. f.																													
1527821176	اقرارنامه	iqraarnaamá	written law contract, agreement	3	n. f.																													2
1664091744623	اقتدا	iqtidáa	imitation, following someone's example	4	n. f.																													2
1527816008	اراده	iraadá	will, willpower, intention, desire	4	n. f.																													3
1713880844804	اراده کول	iraadá kawúl	to intend, to make a plan, set a goal	4	v. dyn. comp. trans.	1527816008	intend																											3
1527820897	ارادي	iraadée	deliberate, intending, intentional; voluntary, unpaid, willing	3	n. f.																													2
1527822672	ارتفاع	irtifáa'	altitude, height (plural ارتفاعات)	4	n. f.									ارتفاعات	irtifaa'aat																			2
1527812216	ارتجاع	irtijáa	reaction, regression, recoil, elasticity	3	n. f.																													2
1527811956	ارتقا	irtiqáa	rise, elevation, development, evolution, growth	4	n. f.																													2
1527812083	اشاره	ishaará	sign, signal, hint, allusion	4	n. f.																													3
1527812082	اشاره یي ژبه	ishaara yee jzuba	sign language	4	n. f.																													2
1527821701	اشباع	ishbaa'	satiation, satisfaction, saturation	3	n. f.																													
1527819058	اشتباه	ishtibáah, ishtibáa	error, mistake; suspicion, doubt	3	n. f.																													2
1527821548	اشتها	ishtiháa	appetite	4	n. f.																													2
1527812697	اشتیا	ishtiyáa, ishtyáa	appetite	3	n. f.																													2
1527822030	استبدادي	istibdaadée	despotic, autocratic	3	n. f.																													2
1527816642	استعفا	isti'fáa	resignation, quitting, retirement	4	n. f.																													3
1714744787408	استعفا ورکول	isti'fáa warkawúl	to resign, quit a job, retire	4	v. dyn. comp. trans.	1527816642																												3
1527818044	استفاده	istifaadá	use, profit, gain, benefit	3	n. f.																													2
1585928568994	استغنا	istighnáa	lack of need, having enough financially, sufficiency	2	n. f.																													2
1610795927463	استخاره	istikhaará	fortune-telling	4	n. f.																													2
1527821137	اصطلاحي	istilaahee	phraseological, idiomatic, special, technical (of a term)	2	n. f.																													
1578014484426	استنجا	istinjáa	Islamic washing of private parts after going to the bathroom	4	n. f.																													
1527818585	استثنیٰ	istisnáa	exception	4	n. f.																													2
1585750625723	استطلاع	istitilaa'	investigation, research, inquiry	3	n. f.																													2
1658795458148	استري	istrée	iron (for ironing clothes)	4	n. f.																													3
1527816723	اتحادیه	itihaadiyá	union	4	n. f.																													2
1527815920	اتکا	itikáa	expectation, reliance, hope, support	3	n. f.																													2
1527816226	اطلاع	itláa	notice, information, report	4	n. f.																													3
1714744086725	اطلاع ورکول	itláa warkawúl	to report, give information	4	v. dyn. comp. trans.	1527816226	report																											3
1527819534	اتباع	ittibáa', itbáa'	obedience, following, shadowing, observation, maintenance (of principles)	4	n. f.																													2
1527816227	اطلاعیه	ittilaa'iyá, itlaayá	notification, information	4	n. f.																													2
1527814922	اضافه	izaafá	addition, add-on, augmentation	3	n. f.																													2
1527820310	جعل کاري	ja'l kaarée	forgery, faking	4	n. f.																													2
1527821832	جابۍ	jaabúy	short skirt, ballerina’s dress; man’s pleated shirt; leg bracelets	4	n. f.																													2
1527823417	جاده	jaaddá, jaadá	highway, surfaced road, main road, road	4	n. f.																													2
1579313345263	جادوګري	jaadoogarée	magic, sorcery	4	n. f.																													2
1678361634982	جاګیرداري	jaageerdaaree	feudalism		n. f.																													2
1527818708	جاغه	jaaghá	collar (of a shirt)	2	n. f.																													2
1527818727	جاله	jaalá	raft, barge (made up of logs); calamity, misfortune	4	n. f.																													
1527818726	جاله	jáala	nest, spiderweb, beehive	4	n. f.																													3
1527816156	جامه	jáama, jaamá	clothes, clothing	4	n. f.																													2
1527820713	جار ایستنه	jaar eestúna	vomit, vomiting, puke, puking	4	n. f.																													2
1527820715	جارباسنه	jaarbaasúna	vomit, vomiting, puke, puking	4	n. f.																													2
1527818319	جارو	jaaróo	broom	4	n. f.																													3
1527816570	جاسوسي	jaasoosée	spying, intelligence, espionage	4	n. f.																													2
1715424787301	جاسوسي کول	jaasoosée kawúl	to spy, do espionage, do intelligence work	4	v. dyn. comp. trans.	1527816570	spy																											3
1527820703	جایزه	jaayizá	award, prize, reward; assesment, analysis, look-over, survey	4	n. f.																													3
1702843632782	جایزه اخیستل	jaayizá akheestúl	to analyse, look over, assess, survey	4	v. dyn. comp. trans.	1527820703																												3
1527821648	جاذبه	jaazibá	attraction, pulling, gravity, attractiveness, charm	4	n. f.																													2
1527814393	جبیره	jabeerá	bandage, splint (Arabic)	3	n. f.																													2
1630938686530	جبهه	jabhá	front (also as in battle/military)	4	n. f.																													2
1527817620	جفا	jafáa, jifáa	oppression, cruelty, difficulty, suffering, offense, injury	3	n. f.																													2
1527812703	جګړه	jagRá	fight, war, battle	4	n. f.																													3
1713118708157	جګړه کول	jagRá kawúl	to fight, battle, war	4	v. dyn. comp. trans.	1527812703	fight																											3
1527813741	جلا	jaláa	shine, polish, luster	4	n. f.																													2
1527813743	جلاوطني	jalaawatanée	migration, exile, immigrant, emmigration, homesickness ??	4	n. f.																													2
1527815904	جلغوزه	jalghoozá	pine tree with edible nuts, pine-nut tree	4	n. f.																													2
1595516250168	جلتي	jaltée	speed, swiftness, hurry	4	n. f.																													3
1672306802138	جلوه	jalwá	magnificence, splendor, radiance; manifestation, show, event		n. f.																													2
1527813554	جمع	jáma'	collection, gathering; plural (grammar); addition, sum (math)	4	n. f.																													3
1527812704	جماع	jamaa	sexual intercourse	4	n. f.																													
1527823230	جڼه جڼه	jaNa jaNa	subterfuge, evasion, dodge, cunning, craftiness, cheat; vacillation, going back and forth	3	n. f. doub.																													
1527817504	جنازه	janaazá, jinaazá	funeral	4	n. f.																													3
1527820115	جنډه	janDá	flag	4	n. f.																													3
1610444343375	جنډا	janDáa	flag	3	n. f.																													2
1585486866124	جنډۍ	janDúy	flag, banner	4	n. f.																													2
1576373847078	جنغوزه	janghozá	pistachio, pine nut	4	n. f.																													2
1527820438	جنګړه	jangRá	thicket, bushes	4	n. f.																													
1527820439	جنګړه	janguRá, jangúRa	thicket, bushes	4	n. f.																													2
1527812111	جنجړۍ	janjaRúy	bindweed, Convolvulus arvensis	4	n. f.																													2
1527812112	جنجړۍ	janjuRúy	duty, responsibility, obligation	4	n. f.																													2
1527822119	جنتري	jantarée, jUntrée	calendar	4	n. f.																													3
1527820583	جنوري	janwarée	January	4	n. f.																													2
1527812706	جرابه	jaráaba	sock	4	n. f.																													2
1527819668	جریده	jareedá	journal, newspaper	4	n. f.																													2
1527820104	جریمه	jareemá	fine, penalty	4	n. f.																													2
1527823294	جرحه	jarhá	wound	4	n. f.																													2
1527816970	جرمني	jarmunée	Germany	4	n. f.																													2
1527814749	جړمړۍ	jaRmuRúy	antidote (for poison)	4	n. f.																													2
1527814815	جراحي	jarraahée, jaraahée	surgery (Arabic)	4	n. f.																													2
1588160897255	جراحي	jarraahée, jaraahée	surgery	3	n. f.																													2
1661499729403	جو	jaw	space, space between, interval; space, atmosphere	2	n. f.																													2
1527823421	جواري	jawaarée	gambling, card game, gambling game	4	n. f.																													3
1713437534959	جواري کول	jawaarée kawúl	to gamble	4	v. dyn. comp. trans.	1527823421	gamble																											3
1527820636	جوله	jáwla	form, shape	3	n. f.																													2
1566549992928	جوسه	jawsá, jósa	cupboard	3	n. f.																													2
1527815043	جزا	jazáa	punishment, retribution	4	n. f.																													2
1527814384	جزیره	jazeerá	island	4	n. f.																													3
1527819372	جینۍ	jeenúy	girl, young woman	4	n. f.																													3
1714371051389	جینۍ غوښتل	jeenúy ghwUxtúl	to ask for a girl in marriage, to propose		v. dyn. comp. trans.	1527819372																												3
1527822740	جیټکه	jeeTká, jiTká	push, shove, bump; jolt	3	n. f.																													2
1527821307	جلوګیري	jilawgeerée	interruption, halt, forestalling, forbidding	4	n. f.																													2
1527815499	جرګه	jirgá, jurgá	jirga, council, assembly, synod	4	n. f.																													3
1527821608	جرړه	jírRa, jirRá	cotton	4	n. f.																													2
1527822739	جټکه	jiTká	push, shove, bump; jolt (جيټکه)	4	n. f.																													3
1527814633	جوبه	jobá	market	3	n. f.																													2
1527818191	جولا	joláa, jooláa	cloth, fabric; weaver; spider	4	n. f.																													3
1527820437	جونګړه	joongúRa	shack, hut, lodge, cabin	4	n. f.																													3
1566549995565	جوسه	joosá	face, frame, body	3	n. f.																													
1566477622070	جوپه	jopá	turn, beat (as in a watchman's beat), caravan	4	n. f.																													2
1527818783	جوړ جاړي	joR jaaRée	agreement, dealing	4	n. f.																													2
1527818635	جوړه	joRá	pair, match, couple, double, twin, duplicate	4	n. f.																													3
1527818636	جوړه	jóRa	reconciliation, peace, settlement	4	n. f.																													
1714728403667	جوړه کول	jóRa kawúl	to make peace, reconcile		v. dyn. comp. trans.	1527818636	make	peace																										3
1577649825813	جوټه	joTá	garbage, leftovers	3	n. f.																													2
1595253116694	جغرافیه	jUghraafiyá	geography	4	n. f.																													3
1527820514	جغرافیا	jUghraafiyáa	geography	4	n. f.																													2
1527811573	جلۍ	julúy	girl	4	n. f.																													2
1527812715	جمعه	jUm'á, jUmá	Friday	4	n. f.																													3
1527816696	جمله	jUmlá	sentence; whole, total, sum	4	n. f.																													3
1527812130	جنګي	jungée, jangée	local duty, municipal tax	4	n. f.																													3
1527812716	جنۍ	junúy, jinúy	girl, young girl/child	4	n. f. anim.																													2
1527818167	جرعه	jur'á, jurhá	mouthful	3	n. f.																													2
1527811427	جرمانه	jUrmaaná	fine, penalty, punishment	4	n. f.																													3
1566474058252	جرقه	jurqá	spark, twinkle, flake	3	n. f.																													2
1527821607	جرړه	júrRa, jurRá	root	4	n. f.																													2
1527823345	جسه	jÚsa, jísa	figure, form (of face)	4	n. f.																													2
1527820598	جستجو	jUstUjóo	search, seeking out, effort/struggle	4	n. f.																													2
1527823420	جوا	jUwáa, juwáa	gambling	3	n. f.																													2
1527819949	جوار پاکي	juwaar paakée	shelling corn	3	n. f.																													2
1527821556	جۍ	júy	see ژۍ	4	n. f.																													2
1527822847	ژامه	jzaamá, jzáama	jaw	4	n. f.																													2
